"HMDB_accession","Med"
"HMDB0006468",0.217
"HMDB0006469",0.05
"HMDB0006478",0.11
"HMDB0006483",0
"HMDB0006528",34.041
"HMDB0006543",0.149
"HMDB0006547",0.212
"HMDB0006552",0.0009
"HMDB0006559",0.0076
"HMDB0006707",0.29
"HMDB0006725",80
"HMDB0006726",195.48
"HMDB0006727",1.08
"HMDB0006731",39.07
"HMDB0006733",21.93
"HMDB0006734",4.28
"HMDB0006736",18.71
"HMDB0006737",0.53
"HMDB0006740",1.18
"HMDB0006759",0.00034
"HMDB0006840",0.000121
"HMDB0006841",0.000129
"HMDB0006940",0.00514
"HMDB0007011",0.58
"HMDB0007012",0.231
"HMDB0007013",1.42
"HMDB0007014",1.07
"HMDB0007015",1.07
"HMDB0007016",0.415
"HMDB0007017",0.06
"HMDB0007018",0.06
"HMDB0007020",1.37
"HMDB0007021",3.87
"HMDB0007022",2.82
"HMDB0007023",1.65
"HMDB0007024",1.65
"HMDB0007025",0.173
"HMDB0007026",0.173
"HMDB0007028",0.69
"HMDB0007029",1.24
"HMDB0007030",4.06
"HMDB0007031",5.28
"HMDB0007032",0.961
"HMDB0007033",0.961
"HMDB0007035",0.003
"HMDB0007036",0.013
"HMDB0007040",0.231
"HMDB0007041",0.032
"HMDB0007042",1.07
"HMDB0007043",0.415
"HMDB0007044",0.415
"HMDB0007045",0.06
"HMDB0007049",3.87
"HMDB0007050",2.82
"HMDB0007051",1.65
"HMDB0007052",0.173
"HMDB0007053",0.173
"HMDB0007057",1.24
"HMDB0007058",4.06
"HMDB0007059",8.1
"HMDB0007060",0.961
"HMDB0007064",0.013
"HMDB0007065",0.022
"HMDB0007068",0.58
"HMDB0007095",0.58
"HMDB0007096",0.231
"HMDB0007098",1.42
"HMDB0007099",1.07
"HMDB0007100",1.37
"HMDB0007101",3.87
"HMDB0007102",3.87
"HMDB0007103",2.82
"HMDB0007104",1.65
"HMDB0007105",1.65
"HMDB0007106",0.173
"HMDB0007107",0.69
"HMDB0007108",1.24
"HMDB0007109",4.06
"HMDB0007110",8.1
"HMDB0007111",8.1
"HMDB0007112",5.28
"HMDB0007113",5.28
"HMDB0007114",0.961
"HMDB0007115",0.003
"HMDB0007116",0.013
"HMDB0007117",0.022
"HMDB0007118",0.94
